Neighborhood,Air_Quality_Score,Infrastructure_Score,Safety_Index_100,Total_Score
Polish Hill,32.52238805970157,83.0291935714055,55.40790379742183,61.437889914866815
Lincoln-Lemington-Belmar,38.0,66.60579554126323,56.78852043703452,57.765569098144006
Perry North,34.909090909090914,63.85898330099105,56.1633163721066,56.214920289175275
Highland Park,32.52238805970157,62.2047491019622,57.2445367165279,56.0713249628882
Regent Square,38.0,56.28850087660268,57.38383888543346,54.9237786667886
Allegheny Center,30.545454545454543,71.80350305594348,50.42924098897195,54.8574689030527
Morningside,32.52238805970157,54.408195713315024,58.739669753262575,54.531721638176364
Oakwood,30.545454545454543,55.1886869946288,57.70615538632899,53.95546772843039
Hays,30.545454545454543,66.98668757178666,50.44996040821172,53.38114332334777
Squirrel Hill South,38.0,49.071602281116405,58.12392866712689,53.12418918244278
Allegheny West,30.545454545454543,61.445462961571415,52.82138746855807,53.048037366732316
Elliott,30.545454545454543,63.58126610959122,51.16461109568279,52.744489511171246
Windgap,34.909090909090914,50.49476269282759,56.48702851706481,52.27368980766963
Westwood,30.545454545454543,47.86847381678975,58.65779738937572,52.24698311978888
Lincoln Place,11.090909090909092,53.233487969360326,58.338335850491774,51.58962106126053
South Side Slopes,30.545454545454543,52.03122990953198,54.45168694968219,51.08718439834246
Squirrel Hill North,32.52238805970157,40.475795455542205,59.97833639833331,50.94701980075621
Beltzhoover,30.545454545454543,57.82813332126172,50.442832187398864,50.547044526413615
Upper Hill,32.52238805970157,50.39759542403344,53.97173056598175,50.51965873144967
Point Breeze,38.0,43.17299201718543,56.62217324902463,50.42819534009703
Brighton Heights,34.909090909090914,44.10688884401979,56.4965732154228,50.305415355369284
Banksville,30.545454545454543,41.66863974669143,58.17814354844571,50.05231771831572
Brookline,30.545454545454543,42.54266462512503,57.43506130233388,49.89024658211137
Greenfield,32.52238805970157,40.364177870492526,57.98429809279749,49.752893355257385
Overbrook,30.545454545454543,41.23229781992356,56.89086472721325,49.16887030470802
Bon Air,30.545454545454543,48.76595478433092,52.44272812630143,48.909914453435704
Garfield,32.52238805970157,46.358694618165394,53.12824772827781,48.78112678975059
Mount Washington,30.545454545454543,43.66839250726865,54.92084831190665,48.77594583252166
Troy Hill,32.52238805970157,46.65701332568271,52.66598585247918,48.60447662149023
Beechview,30.545454545454543,38.08100462545973,56.72974652180662,48.10143581044716
Lower Lawrenceville,32.52238805970157,39.250096209742864,55.72922554290235,48.09720487314261
South Oakland,30.545454545454543,40.12377074064812,54.71740715900396,47.56236152535645
Central Lawrenceville,32.52238805970157,37.55972290148178,55.6259091101272,47.51480299975654
Perry South,30.545454545454543,46.0039941001867,51.43909942923593,47.47281829101985
Fineview,30.545454545454543,44.30305756283244,52.07187896962476,47.31523056045596
Hazelwood,30.545454545454543,49.8699817718632,49.03077964065842,47.266828289219355
Shadyside,32.52238805970157,39.33928441050256,54.17596058817525,47.22145919385109
Bluff,30.545454545454543,37.80238225027144,55.272488308857376,47.167871184618214
Crafton Heights,30.545454545454543,37.94687391350507,54.934712121077936,47.016084038962276
East Hills,38.0,47.84491779200586,48.25602263449997,47.0064478704239
Sheraden,34.909090909090914,44.36716891079772,50.066923546687335,46.64666470814322
Bloomfield,32.52238805970157,40.01452020739941,52.7567692438297,46.6047704539551
Point Breeze North,38.0,43.30181034918007,49.79553994863951,46.49795693802639
Homewood West,38.0,57.30936948850184,40.92190525503442,45.665751093454276
West End,30.545454545454543,100.0,19.256369391050068,45.44141571700203
Central Northside,30.545454545454543,40.68970543483309,50.53404764749856,45.304391510140974
Glen Hazel,5.924016282225224,50.79229025344952,49.55147699359387,45.15975742484347
Marshall-Shadeland,34.909090909090914,38.88691017633303,50.112666852086605,44.97989074701225
Carrick,30.545454545454543,37.9215862342677,51.09839198340087,44.777250351069775
Crawford-Roberts,30.545454545454543,45.96329668518887,43.514680739306286,42.85178089935225
Homewood North,38.0,39.285290941116834,45.62190621503067,42.829684614306146
East Liberty,32.52238805970157,38.688739912499024,45.65502258781643,42.065074672355514
Middle Hill,30.545454545454543,43.41345800761759,43.431628604431374,42.015592715323194
Homewood South,38.0,42.352288882222254,42.47313527099671,41.94619936659342
Bedford Dwellings,32.52238805970157,46.72852217920683,40.7622204717004,41.70391318520174
Allentown,30.545454545454543,54.41450528762718,36.596693779116734,41.43999792578751
Knoxville,30.545454545454543,39.43698228965167,43.97114788615839,41.100637594854504
Larimer,32.52238805970157,41.97249790225173,41.46530834504641,40.64320460853315
South Side Flats,30.545454545454543,42.32802872471895,41.34496118492582,40.466694044790586
California-Kirkbride,30.545454545454543,55.24012169603445,29.09851608188153,37.334529061849345
