Neighborhood,Infrastructure_Score,2020_Total_Population,Safety_Health_Per_1k,Recreation_Activity_Per_1k,Community_Amenities_Per_1k,Safety_Health,Recreation_Activity,Community_Amenities
West End,100.0,205,4.878048780487805,0.0,4.878048780487805,1,0,1
Polish Hill,86.22047684398089,1201,0.0,2.4979184013322233,0.8326394671107411,0,3,1
Allegheny Center,74.64936442186686,1419,0.0,1.4094432699083863,1.4094432699083863,0,2,2
Lincoln-Lemington-Belmar,69.89130852933327,3636,1.1001100110011,0.8250825082508251,0.275027502750275,4,3,1
Hays,69.50908028423392,321,0.0,0.0,3.115264797507788,0,0,1
Perry North,66.39101759978583,3758,0.0,0.2660989888238425,2.394890899414582,0,1,9
Elliott,66.2298764284463,2193,0.0,0.9119927040583675,1.3679890560875512,0,2,3
Allegheny West,64.9317348206026,540,1.8518518518518519,0.0,0.0,1,0,0
Highland Park,64.81547020830695,6235,0.16038492381716118,0.32076984763432237,1.9246190858059342,1,2,12
Homewood West,60.57859715510544,642,1.557632398753894,0.0,0.0,1,0,0
Beltzhoover,60.34979435398549,1604,0.0,0.6234413965087282,1.2468827930174564,0,1,2
Regent Square,58.674610155404544,971,0.0,0.0,2.059732234809475,0,0,2
California-Kirkbride,58.4007642402338,709,1.4104372355430184,0.0,0.0,1,0,0
Oakwood,57.56078582320421,1025,0.0,0.0,1.951219512195122,0,0,2
Allentown,57.342117669178755,2305,0.8676789587852494,0.4338394793926247,0.0,2,1,0
Morningside,56.8847217425247,3252,0.0,0.6150061500615006,0.9225092250922509,0,2,3
Lincoln Place,55.639622710732304,3155,0.0,0.31695721077654515,1.2678288431061806,0,1,4
South Side Slopes,54.44906189967651,4327,0.0,0.46221400508435406,0.9244280101687081,0,2,4
Glen Hazel,53.108383698998196,659,0.0,0.0,1.5174506828528074,0,0,1
Upper Hill,52.81659200778099,1723,0.0,0.5803830528148578,0.5803830528148578,0,1,1
Windgap,52.80706595610324,1344,0.0,0.0,1.488095238095238,0,0,2
Hazelwood,52.22214428643066,3889,0.0,0.2571355104139882,1.0285420416559528,0,1,4
Squirrel Hill South,51.402199326209306,15317,0.0,0.19586080825226873,1.0445909773454332,0,3,16
Bon Air,51.05623488755185,759,0.0,0.0,1.3175230566534915,0,0,1
Westwood,50.25894482327105,3332,0.0,0.6002400960384153,0.30012004801920766,0,2,1
East Hills,50.187768236275204,2892,0.0,0.3457814661134163,0.6915629322268326,0,1,2
Troy Hill,49.20193184802936,2645,0.3780718336483932,0.3780718336483932,0.0,1,1,0
Bedford Dwellings,49.12702169599252,1386,0.0,0.7215007215007215,0.0,0,1,0
Garfield,48.82269482742199,3643,0.2744990392533626,0.2744990392533626,0.2744990392533626,1,1,1
Crawford-Roberts,48.46149056152508,2293,0.4361098996947231,0.0,0.4361098996947231,1,0,1
Perry South,48.456852937889245,3765,0.2656042496679947,0.2656042496679947,0.2656042496679947,1,1,1
Sheraden,46.6375440163707,5147,0.0,0.19428793471925396,0.5828638041577618,0,1,3
Fineview,46.536485138173475,1140,0.0,0.0,0.8771929824561404,0,0,1
Brighton Heights,46.39016517618783,7105,0.0,0.28149190710767064,0.422237860661506,0,2,3
Middle Hill,45.95348869038818,1757,0.5691519635742743,0.0,0.0,1,0,0
Mount Washington,45.93643669881611,8710,0.0,0.2296211251435132,0.4592422502870264,0,2,4
Point Breeze North,45.616027037805914,1988,0.0,0.5030181086519115,0.0,0,1,0
Point Breeze,45.46156951737136,5348,0.0,0.3739715781600598,0.1869857890800299,0,2,1
Brookline,44.81061082319602,13063,0.0,0.3062083747990508,0.22965628109928807,0,4,3
Homewood South,44.64315130045616,2260,0.0,0.4424778761061947,0.0,0,1,0
South Side Flats,44.586106468182365,7467,0.0,0.26784518548279096,0.26784518548279096,0,2,2
Larimer,44.17623664509162,1545,0.0,0.0,0.6472491909385113,0,0,1
Banksville,43.913568319499944,4127,0.0,0.242306760358614,0.242306760358614,0,1,1
Overbrook,43.426607206959645,3483,0.0,0.0,0.5742176284811944,0,0,2
Central Northside,42.939675230066186,2972,0.0,0.3364737550471063,0.0,0,1,0
Squirrel Hill North,42.72314802814811,11879,0.08418217021634818,0.08418217021634818,0.2525465106490445,1,1,3
Greenfield,42.57303987150727,7261,0.0,0.13772207684891888,0.27544415369783776,0,1,2
South Oakland,42.359820901273565,3329,0.0,0.30039050765995795,0.0,0,1,0
Bloomfield,42.279245815319484,8665,0.1154068090017311,0.1154068090017311,0.1154068090017311,1,1,1
Knoxville,41.76834482540543,3493,0.286286859433152,0.0,0.0,1,0,0
Shadyside,41.55809006954009,15317,0.06528693608408957,0.06528693608408957,0.19586080825226873,1,1,3
Homewood North,41.45479754705224,2617,0.0,0.0,0.38211692777990064,0,0,1
Lower Lawrenceville,41.419154472517455,2641,0.0,0.0,0.3786444528587656,0,0,1
Marshall-Shadeland,41.18940732053085,4046,0.24715768660405335,0.0,0.0,1,0,0
East Liberty,40.85064709763152,6187,0.0,0.0,0.3232584451268789,0,0,2
Beechview,40.235169914322796,7596,0.0,0.0,0.2632964718272775,0,0,2
Crafton Heights,40.09933052084076,3999,0.0,0.0,0.25006251562890724,0,0,1
Carrick,40.09179313636334,10290,0.0,0.09718172983479106,0.09718172983479106,0,1,1
Bluff,40.04796808687674,5882,0.17001020061203673,0.0,0.0,1,0,0
Central Lawrenceville,39.70724761981972,4720,0.0,0.0,0.211864406779661,0,0,1
Fairywood,37.53257422012048,1092,0.0,0.0,0.0,0,0,0
Central Oakland,37.53257422012048,5835,0.0,0.0,0.0,0,0,0
