Neighborhood,Air_Quality_Score
Point Breeze North,86.0
Squirrel Hill North,79.89080911233314
Garfield,79.89080911233314
Bedford Dwellings,79.89080911233314
Knoxville,65.05263157894736
Homewood South,86.0
Middle Hill,65.05263157894736
Oakwood,65.05263157894736
North Oakland,79.89080911233314
Duquesne Heights,65.05263157894736
Glen Hazel,7.014925373134314
East Liberty,79.89080911233314
Westwood,65.05263157894736
Morningside,79.89080911233314
Lincoln Place,13.157894736842108
Perry North,77.6842105263158
Northview Heights,79.89080911233314
Homewood North,86.0
Arlington Heights,65.05263157894736
Lower Lawrenceville,79.89080911233314
Larimer,79.89080911233314
Lincoln-Lemington-Belmar,86.0
Bluff,65.05263157894736
Fairywood,77.6842105263158
Brookline,65.05263157894736
Hays,65.05263157894736
Beltzhoover,65.05263157894736
Greenfield,79.89080911233314
East Carnegie,65.05263157894736
North Shore,65.05263157894736
Allentown,65.05263157894736
Bon Air,65.05263157894736
Allegheny West,65.05263157894736
Crafton Heights,65.05263157894736
Manchester,65.05263157894736
Marshall-Shadeland,77.6842105263158
Highland Park,79.89080911233314
New Homestead,7.014925373134314
Central Northside,65.05263157894736
Polish Hill,79.89080911233314
Overbrook,65.05263157894736
Friendship,79.89080911233314
Homewood West,86.0
Central Business District,65.05263157894736
East Allegheny,65.05263157894736
Allegheny Center,65.05263157894736
Central Oakland,79.89080911233314
Brighton Heights,77.6842105263158
South Side Slopes,65.05263157894736
Arlington,65.05263157894736
Chartiers City,77.6842105263158
Carrick,65.05263157894736
Bloomfield,79.89080911233314
Banksville,65.05263157894736
Mount Washington,65.05263157894736
East Hills,86.0
Central Lawrenceville,79.89080911233314
West End,65.05263157894736
Esplen,77.6842105263158
Point Breeze,86.0
Hazelwood,65.05263157894736
Crawford-Roberts,65.05263157894736
South Oakland,65.05263157894736
Upper Hill,79.89080911233314
Ridgemont,65.05263157894736
Troy Hill,79.89080911233314
South Shore,65.05263157894736
Mt. Oliver,65.05263157894736
California-Kirkbride,65.05263157894736
Spring Hill-City View,79.89080911233314
Sheraden,77.6842105263158
Stanton Heights,79.89080911233314
Beechview,65.05263157894736
St. Clair,65.05263157894736
Chateau,65.05263157894736
Shadyside,79.89080911233314
Summer Hill,79.89080911233314
West Oakland,65.05263157894736
Windgap,77.6842105263158
Spring Garden,79.89080911233314
Squirrel Hill South,86.0
Strip District,65.05263157894736
Swisshelm Park,86.0
Perry South,65.05263157894736
Upper Lawrenceville,79.89080911233314
Regent Square,86.0
Terrace Village,65.05263157894736
Elliott,65.05263157894736
South Side Flats,65.05263157894736
Fineview,65.05263157894736
