site,days_observed,healthy_days,median_daily_aqi,p90_daily_aqi,sd_daily_aqi,healthy_rate,BNAS,rank
Lawrenceville 2,670,670,3.0,6.0,2.0390084043383796,1.0,93.63636363636364,1
Liberty,670,670,8.0,36.10000000000002,16.295884610934248,1.0,83.63636363636363,2
Glassport High Street,669,669,15.0,31.0,9.907892134038688,1.0,81.81818181818181,3
Clairton,667,667,33.0,56.0,15.72152102039459,1.0,65.45454545454545,4
Parkway East,666,666,33.0,56.0,15.305518301234267,1.0,65.45454545454545,5
Avalon,668,668,34.0,57.0,15.758749093103125,1.0,53.18181818181817,6
Lawrenceville,670,667,35.0,49.0,12.343597619990112,0.9955223880597015,46.36363636363636,7
Pittsburgh,668,668,36.0,57.0,15.543331320328921,1.0,44.09090909090909,8
Liberty 2,667,667,41.0,64.0,18.049059356545417,1.0,20.909090909090914,9
Harrison Township,670,668,38.0,64.0,15.812663869994125,0.9970149253731343,20.90909090909091,10
North Braddock,670,668,42.5,63.0,17.835136857644795,0.9970149253731343,12.727272727272727,11
South Fayette,668,664,40.0,64.0,15.782209622560243,0.9940119760479041,11.818181818181817,12
